contrato;juros_mensal_percentual;juros_atraso_dia_percentual;juros_pagos_historico
cmqf569zg00cifljhkfmvpw53;30;10;300
cmqf569zh00ckfljhqfwy0f1s;0;10;0
cmqf569zh00cmfljhyt5vjwrk;30;10;0
cmqf56a9v00cofljh7zzx0svm;30;10;0
cmqf56aae00crfljhq3ojlta2;30;0;345.0000000000001
cmqf56acg00ctfljhglrkmmrm;10;0;0
cmqf56ach00cvfljh61vfcfov;10;0;0
cmqf56acz00cxfljhwi693tt5;10;0;0
cmqf56ad000czfljh51kvg6qg;10;0;0
cmqf56agm00d1fljhf7pfk3yg;30;10;0
cmqf56ai400d3fljha5zkyok7;30;10;0
cmqf56ak800d5fljhzg7fq6zr;30;10;0
cmqf56ak900d7fljhjytdjmhy;0;10;0
cmqf56aka00d9fljhl9x1vh2r;0;10;0
cmqf56ap500dbfljhvkubjca5;0;10;0
cmqf56at100ddfljh0qponfud;30;10;300
cmqf56ath00dffljh78ydbec7;30;10;0
cmqf56avi00dhfljh508dm9y6;10;0;0
cmqf56avj00djfljh1mend38r;10;0;0
cmqf56avk00dlfljht9jsv8yo;30;10;0
cmqf56avk00dnfljhm1pj8kmd;20;10;0
cmqf56az600dpfljhq9iyx20d;30;10;0
cmqf56b1g00drfljh2exv4ist;30;10;0
cmqf56b6s00dtfljh8i2u7rw3;30;0;0
cmqf56b7300dvfljhqu5lmg2z;10;0;0
cmqf56b9400dxfljhls9f0wqc;10;0;0
cmqf56bl200dzfljh7uxkdbb7;10;0;0
cmqf56btk00e1fljhifew6tqh;10;0;0
cmqf56bwb00e3fljh28651g0p;10;0;0
cmqf56bwo00e5fljhsd1vvecz;10;0;0
cmqf56bwq00e7fljhyy0bhfd9;10;0;0
cmqf56bwr00e9fljheu5a9e4l;0;10;0
cmqf56bws00ebfljhhbvgy22h;30;10;0
cmqf56bzd00effljh3fqm1s6p;30;10;0
cmqf56c5q00ehfljhttfynogo;0;10;0
cmqf56c5r00ejfljhezkrd7w9;30;0;0
cmqf56c5u00elfljhbsrr9dx8;30;10;0
cmqf56c8g00enfljhbhr3jyuy;30;10;0
cmqf56cfc00epfljhkop5pf4s;30;10;0
cmqf56ckl00erfljhlvz7o6tc;0;10;0
cmqf56ckm00etfljh79sp9st2;0;10;0
cmqf56ckn00evfljh930xu8wf;0;10;0
cmqf56cks00exfljhh9jnmzk5;30;10;0
cmqf56ckt00ezfljhzsq4wl6v;30;10;0
cmqf56cku00f1fljhmf7r1eg5;30;10;0
cmqf56coo00f3fljhmqnx9dit;30;10;0
cmqf56crs00f5fljh5izyvdit;30;10;0
cmqf56cv900f7fljh7gb3jcjx;30000;0;0
cmqf56cvk00f9fljhm85q4hbv;30;10;0
cmqf56cvx00fbfljhnrqwfgw8;10;0;0
cmqf56cyj00fdfljh2loxlebh;10;0;0
cmqf56d2o00fffljhuh55db0w;10;0;0
cmqf56d4n00fhfljhv9sj2989;30;0;0
cmqf56d9c00fjfljhxgpvqih0;0;10;0
cmqf56d9e00flfljh0rprdgf7;30;10;0
cmqf56d9e00fnfljhqmt3r3hn;30;10;0
cmqf56d9e00fpfljhi5gcmy47;30;10;0
cmqf56d9e00frfljhlx2e4w1k;30;10;0
cmqf56dgk00ftfljh676oqtow;30;10;0
cmqf56dpo00fvfljholg47720;30;10;0
cmqf56dq000fxfljhvxk043nn;10;0;0
cmqf56dq100fzfljhyxk4nno8;10;0;0
cmqf56dq200g1fljhq5sn06bo;10;0;0
cmqf56dqa00g3fljhj62fvej6;10;0;0
cmqf56dqc00g5fljhu82d9oea;10;0;0
cmqf56dx600g7fljh0ozq8woi;30;10;0
cmqf56dx700gafljhq48vbo2e;30;10;0
cmqf56dx800gcfljhjxnix974;30;10;0
cmqf56dx900gefljh702v36ha;30;10;0
cmqf56e7u00ggfljhw5lztids;30;10;0
cmqf56edl00gifljhsgbrmrpj;0;10;0
cmqf56edm00gkfljhz60salt3;0;10;0
cmqf56edm00gmfljhlk7mexnt;30;10;0
cmqf56edn00gofljhcqdgvm0w;30;10;0
cmqf56edp00gqfljh005d55ii;0;10;0
cmqf56ekh00gsfljhztow7lj2;30;10;0
cmqf56ekh00gufljh2tkzo53v;30;10;0
cmqf56el300h0fljhr82iwjgo;30;10;0
cmqf56el500h2fljhc9030bcy;0;10;0
cmqf56ezw00h6fljhxq38cdg5;3;0;0
cmqf56ezx00h8fljhn6aj1cb9;1;0;0
cmqf56f0n00hafljhin7ou3st;3.3333;0;0
cmqf56f0v00hcfljhp84uexqn;3.3333;0;0
cmqf56f0v00hefljh2lmaqgh5;10;0;0
cmqf56f3p00hgfljhkbuqiyuj;10;0;0
cmqf56f8g00hifljhu2zj9kwo;10;0;0
cmqf56f8h00hkfljhcuyqqlkz;10;0;0
cmqf56f9400hmfljhjzzdbe4a;0;10;0
cmqf56f9400hofljh7x9n9vr9;30;10;0
cmqf56f9500hqfljhm4s4rklw;0;10;0
cmqf56ftu00hsfljhz01sqid9;30;10;0
cmqf56ftu00hufljhcqls06wk;30;10;0
cmqf56g3500hwfljhizue5jgx;0;10;0
cmqf56g3500hyfljhga5t97q6;30;0;0
cmqf56g3500i0fljh12oneneh;0;10;0
cmqf56g3500i2fljh4so19qki;20;10;0
cmqf56g3500i4fljh1o1fds4f;30;10;0
cmqf56gaf00i6fljhmpey601g;30;10;0
cmqf56gan00i8fljh1i3w2hgg;0;10;0
cmqf56gao00iafljhgfn1461n;10;0;94.50000000000011
cmqf56gap00icfljhm17sk958;10;0;0
cmqf56gbh00iefljhx53nwnis;0;10;0
cmqf56gi200igfljhn1bg68kh;0;10;0
cmqf56gjs00iifljh7zoaooxr;0;10;0
cmqf56goz00ikfljh8zs2ye4u;30;10;0
cmqf56gp000imfljhvkh3maa2;30;10;0
cmqf56gp100iofljhcus7l7t5;30;0;0
cmqf56gp200iqfljh093yjwwe;10;0;0
cmqf56gp300isfljhsmj7ai24;10;0;0
cmqf56gxe00iufljh26t3espx;10;0;0
cmqf56gxf00iwfljhhccj9q9n;10;0;0
cmqf56gxg00iyfljh6ansp53c;10;0;0
cmqf56gxt00j0fljhnmhcfwfe;10;0;0
cmqf56h6300j3fljhcy4w3feh;30;10;0
cmqf56h6400j5fljhgv25onkc;0;10;0
cmqf56hal00j7fljhmirhcxv5;30;10;0
cmqf56hdr00j9fljh2fe0iqb3;30;10;0
cmqf56hds00jbfljhhn867jjf;30;10;0
cmqf56hdu00jdfljhlcmpe0b7;30;10;0
cmqf56hdu00jffljhxugyfnw1;30;10;0
cmqf56he600jhfljhwtcqftnr;0;10;0
cmqf56hjh00jjfljh7bm8ysvj;0;10;0
cmqf56hle00jlfljhw15vrma7;30;10;0
cmqf56hle00jnfljhqt5jeqnw;30;0;0
cmqf56hle00jpfljhcp0eg5rb;20;0;0
cmqf56hp600jrfljhopihe8xy;30;0;0
cmqf56hpa00jtfljhignqc70r;30;0;0
cmqf56hyw00jvfljhwpsglby5;0;10;0
cmqf56hyx00jxfljhrei3z2t7;30;0;0
cmqf56i2l00jzfljhp07c3i6b;10;0;0
cmqf56i2m00k1fljhzcmpqtyh;10;0;0
cmqf56i2n00k3fljhh700mid5;10;0;0
cmqf56i3700k5fljhueh9c4md;30;0;0
cmqf56i6000k7fljh54xayj5n;30;0;0
cmqf56i6500k9fljhp4cxaceb;0;10;0
cmqf56i8r00kbfljhr8lhi4pg;30;0;0
cmqf56ibh00kffljh1k05jq06;10000;0;0
cmqf56ic000khfljh2m7cz4pi;10000;0;0
cmqf56ihh00kjfljhfz6j9ait;10;0;0
cmqf56iiq00klfljhqu20cq4o;10;0;0
cmqf56imn00knfljh2258vqbv;10;0;0
cmqf56imr00kpfljh7lw04cb9;30;0;0
cmqf56ims00krfljhbp7l9wby;30;0;0
cmqf56ims00ktfljhlmusohup;30;0;0
cmqf56ipz00kvfljh5ocyzyln;30;0;0
cmqf56iq000kxfljhm7nfch30;30;0;0
cmqf56is100kzfljhxkqg4upb;30;0;0
cmqf56isz00l1fljhekrb9d49;0;10;0
cmqf56its00l3fljhxireus4w;0;10;0
cmqf56iw300l5fljh2d1uau2b;10;0;0
cmqf56j2e00l7fljhxfeus4o5;30;0;0
cmqf56joc00lafljhxs3gmy6g;10;0;0
cmqf56jof00lcfljhadbzidfh;30;0;0
cmqf56jry00lefljhhzykasu7;30;0;0
cmqf56jrz00lgfljhpc1qbawc;10;0;0
cmqf56js100lifljhc4zqj7i9;30;0;0
cmqf56jvz00lkfljh5g543aqg;10;0;0
cmqf56k2600lmfljhavzk0otl;10;0;0
cmqf56k7r00lofljhb4dh6l6k;10;0;0
cmqf56kb400lsfljh0hs4j19a;30;0;0
cmqf56kda00lufljh6ksowtog;20;10;0
cmqf56ki800lwfljhjq1d6bmg;30;0;0
cmqf56km000lyfljhk7pdmm0u;30;0;0
cmqf56ko300m0fljhmwn9z8b4;0;10;0
cmqf56kok00m2fljhwxscmnqb;0;10;0
cmqf56kq300m4fljh6iqkvnwe;30;0;0
cmqf56kq400m6fljh5funnonw;30;0;0
cmqf56krv00m8fljhj78fxrhb;30000;0;0
cmqf56kuc00mafljheev76pea;0;10;0
cmqf56kuc00mcfljhqimxcnae;30;0;0
cmqf56kv000mffljhwser96b0;10;0;147.0000000000001
cmqf56kxp00mhfljhfmieo8q9;30;0;0
cmqf56l1i00mjfljh51w6wwgp;30;0;0
cmqf56lgr00mofljhyvbhki7u;30;0;0
cmqf56lgs00mqfljh4ydncc86;20000;0;0
cmqf56lkx00msfljh553ldvli;30;0;0
cmqf56lob00mufljhtl4vgxf7;30;0;0
cmqf56loc00mwfljhu5zvhjuu;0;10;0
cmqf56luf00n0fljh0xr5ctxz;0;10;0
cmqf56lww00n2fljhnbqfjheb;30;10;0
cmqf56m3a00n5fljhynuvma2r;30;0;0
cmqf56m6o00n9fljhzmbx57jw;30;0;0
cmqf56mc500ncfljh4qwrqxha;30;0;0
cmqf56mc600nefljhb8aemgl0;30;0;0
cmqf56mcc00ngfljhtu5wj7mm;30;0;0
cmqf56mcd00nifljhbul56gxk;30;0;0
cmqf56mce00nkfljhiuf622s8;30;0;0
cmqf56mg700nmfljhuybuv1ql;30;0;0
cmqf56mgq00nofljh6r48pcsk;0;10;0
cmqf56mgr00nqfljh5vi8bycy;30;0;0
cmqf56mni00nsfljhqm4rxdqp;30000;0;0
cmqf56mrw00nwfljh9vgo9fv1;30;0;0
cmqf56mvf00nyfljh08m617bj;30;0;0
cmqf56mvv00o0fljh510ifk0q;0;10;0
cmqf56mxr00o2fljhnqvbel31;0;10;0
cmqf56mxr00o4fljhlt4it7p2;30000;0;0
cmqf56mxs00o6fljhuemq2ldi;30;0;99
cmqf56myx00o8fljh5w9r61rk;10;0;0
cmqf56n3400oafljhvj3n4zyf;10;0;0
cmqf56n3500ocfljhllk19tzg;10;0;0
cmqf56n8x00oefljhr9e62yq9;0;10;0
cmqf56nay00ogfljho1g81huw;30;0;0
cmqf56ngt00oifljhd5014s6r;30;0;0
cmqf56nix00okfljhe6xac8jb;0;10;0
cmqf56nm900onfljhdt2pm7l7;30;0;0
cmqf56nmy00opfljhvre1ebe4;0;10;0
cmqf56now00orfljhs6vlylak;0;10;0
cmqf56nq900otfljhcgroxv0j;30;0;0
cmqf56nrx00ovfljh01075npy;30;0;0
cmqf56ntg00oxfljh9nutn92g;30;0;0
cmqf56ntw00ozfljhr63b9nfk;5;0;0
cmqf56nwx00p1fljhjobt6qu8;0;10;0
cmqf56nx500p3fljhmna05h2l;30;0;0
cmqf56nzo00p5fljhzuh3uysm;0;10;0
cmqf56o1800p7fljh54g142oe;0;10;0
cmqf56o2u00p9fljhrqxl9i5f;30;0;0
cmqf56o7p00pbfljhlb5a46vs;30;0;60
cmqf56o7u00pdfljhce63rv2w;30;0;0
cmqf56obv00pffljhsbxilarz;30;0;0
cmqf56obw00phfljhjvly161s;30;10;0
cmqf56obx00pjfljhy5ejli0v;30;0;0
cmqf56om400plfljhwu1f304f;30;0;0
cmqf56omm00pnfljhgib7si3c;30;0;0
cmqf56owp00ppfljhe82kcwjv;30;10;0
cmqf56owq00prfljhugqkg4tg;30;0;0
cmqf56owr00ptfljhe3hsc7ox;30;0;0
cmqf56p2g00pvfljhbf8aq3sp;0;10;0
cmqf56pe400pxfljhsg4hhu6n;30;0;0
cmqf56pew00pzfljhcaewfijj;30;0;0
cmqf56pf300q1fljhxb105dqz;0;10;0
cmqfgr6f30001kqszo0wmu7qu;30;10;0
cmr6c3kq70002kq5gzp2em3v3;30;10;0
cmr6cnhvu001rkq5g3kr5ow54;30;10;0
cmr6dc42h002qkq5gfl3z5fqd;30;10;0
cmr6e1lxq002vkq5gv48ilrt1;30;10;0
cmr6e7gmn003mkq5goiae1iht;30;10;300
cmr6eo2up004bkq5g3b6rdorl;30;10;0
cmr6ew0yb004ykq5g12he8zyb;30;10;0
cmr6f78y9005hkq5g6hnghw03;30;10;0
cmr6f8vlq005ukq5gp2mppug1;30;10;0
cmr6fjke9005zkq5g4r864y7j;30;10;0
cmr6u1awd0064kq5g8btlt9la;10;0;0
cmr6u50gv0069kq5gjni7qiwg;10;0;0
cmr6u8a4l006ekq5galn945x8;10;0;0
cmr6uoep3006lkq5gpa1ayiqe;30;10;150
cmr6vfgs6006vkq5gyr5dnnnf;30;10;0
cmr6vx9td0072kq5gbni2yfec;30;10;0
cmr6wbde0007xkq5gyvy650s2;30;10;0
cmr6ww8w8008ukq5g5q54qq2j;30;10;0
cmr6xonxl0097kq5gaets4a0w;10;0;0
cmr6xs4ht009ckq5ga7cognb8;10;0;0
cmr6xvl8r009hkq5gmc2e6m8d;10;0;0
cmr6yb1i0009ykq5g04g7s62c;30;10;0
cmr708lwg00alkq5gxsne70nn;30;10;0
cmr70j8e800bgkq5gbfv184fo;30;10;0
cmr70pf0i00blkq5g175uyqp5;20;10;300
cmr70xozf00bqkq5gg6ly0bay;20;10;0
cmr71rqkv00cwkq5ghezgnnfd;30;10;0
cmr723leg00dfkq5gp62wcsw0;30;10;0
cmr736mgx00dnkq5grij8eut2;30;10;151.82
cmr7wjqdp00e6kq5gcyxv2j5f;30;10;0
cmr7wue1q00enkq5ghur620vy;30;10;0
cmr7x0d7g00eskq5g5maiakfo;10;0;0
cmr7x5gxx00exkq5gvdxxo6s9;10;0;0
cmr7xh0tv00f2kq5gefir4fxo;10;0;0
cmr7xs11900fxkq5gaef273sm;30;10;0
cmr7xzfzz00g2kq5g9744rw2r;10;0;0
cmr7ydua100g9kq5gmo39trtz;30;10;0
cmr7yv4mf00gekq5g7y1hb12f;10;0;0
cmr7yzazp00gjkq5gfr0519pw;10;0;0
cmr7z3s0000gokq5glt9eu0yk;10;0;0
cmr7z7gxv00gtkq5gqp981ryh;10;0;0
cmr80oypq00hgkq5gx0be83zb;30;10;0
cmr80u7ke00hlkq5gn3gq5ywj;30;0;0
cmr80y14j00hpkq5gjte0ms4c;30;10;90
cmr813kne00hukq5gmemq6xzm;30;10;0
cmr81e7s700j7kq5g89h8ui5r;30;10;0
cmr8231rg00jukq5guwh4qb0n;30;10;0
cmr82d2dz00klkq5gc807gh51;30;10;0
cmr835i5s00lgkq5ge7j72saq;30;10;300
cmr9tp14q00llkq5gthrlqkd5;30;10;0
cmr9u1t3200m6kq5gxyikuooe;30;10;300
cmr9ujnoy00mxkq5g6vdfhn7s;30;10;0
cmra0fhi600nmkq5guxto0veq;30;10;0
cmra0mihe00nzkq5gsz9i4nc3;30;10;0
cmra0x76600o4kq5gidy6i2wv;30;10;0
cmra16x3n00oekq5g7lo41fqw;30;10;0
cmra1dc1s00ojkq5gvwvdytk3;30;10;0
cmra1jqp200ookq5g1nu6qc1s;10;0;0
cmra1lhjf00otkq5g7pgtp19r;10;0;0
cmra1mupz00oykq5g7mf18epp;10;0;0
cmra1u6ch00ppkq5g5e4nujpi;30;10;0
cmra24sb900qikq5gui9urdzj;30;10;0
cmra2hxxf00rlkq5g6sh2f11q;30;10;0
cmra2zifg00sekq5g0t7brplr;30;10;0
cmra3bscq00sxkq5g6lcke7ey;30;10;0
cmra3fbj700t2kq5g55rp4asb;10;0;0
cmra3hpci00t7kq5gjei2f9t2;10;0;0
cmra3rls100twkq5gv7zjutb9;30;10;0
cmra3yeq800u1kq5gaqj8hokk;20;10;0
cmra4gs2c00uxkq5gnxuc8zxm;0;10;0
cmra4n3c200v2kq5grvg3hjun;30;10;0
cmra4uubi00w5kq5g57fcjlav;30;10;0
cmrarbi5g00wakq5gqp7vqans;30;10;0
cmrarisnf00x3kq5gz2xicg8v;30;10;0
cmrarumur00xgkq5gfb1f640j;30;10;0
cmrarvd0c00xzkq5g56loqjio;30;10;0
cmras9hte00yokq5gw7v8t891;30;10;0
cmrasircw00ytkq5gsraukpjy;30;10;0
cmratv7vq00yykq5gt81ptlwi;10;0;0
cmrau1bgb00z3kq5g73j2bsfz;10;0;0
cmrauaj9l00z8kq5gqnx02l7l;10;0;0
cmraulpek00zdkq5gnj8prlxc;30;10;0
cmravl4mm0101kq5gxqaz014s;30;10;0
cmravyopy010okq5g7tu30k84;30;10;0
cmrawb7eu010tkq5gnzwmxrkl;30;10;0
cmrawqlk8011ikq5gqw5v5s79;30;10;0
cmrce4qbu011xkq5g9yqgc199;30;10;9
cmrce8jau0121kq5g0jarfvmo;30;10;300
cmrceg1z60126kq5gqm6c04i8;30;10;0
cmrcehv7o012bkq5g3grmre3i;30;10;150
cmrcekd6b012wkq5gimrir2st;0;10;0
cmrceq6id0131kq5g95qxhfpk;30;10;0
cmrceqxpu013ykq5guxhwkjel;20;10;0
cmrcf03on0143kq5glyo6gqpr;30;10;0
cmrcf2m60014ykq5gi1mgzh64;0;10;0
cmrcf9ar10153kq5gire0kyx5;30;10;0
cmrcfc2gr0158kq5ghyu48ehy;30;10;300
cmrcfodaq015ikq5gra6qne9z;30;10;600
cmrcfsjb9015nkq5gnhqq6i4p;5;0;187.5
cmrcfthxk015skq5gaitfjh2e;30;10;300
cmrdkskiq0002kq9kiq395xib;10;0;0
cmrdlptlu0007kq9kufptbzo7;10;0;0
cmrdmck02000mkq9kwx1nxzx6;20;10;700
cmrdurev7000rkq9kkaejctle;5;0;250
cmrf49u5x000hkqys7zsu16y1;30;0;300
cmrf5vo7i001fkqysvdac8gkm;30;10;510
cmrjjz3ck001pkqbdyixg72lk;0;10;0
cmrjl4cq60006kqdkcy3q3wsi;10;0;100
cmrjl9jn6000akqdkz5iq59rh;30;10;390
cmrjlapif000ekqdkg4zaov3m;30;10;300
cmrjlxl1g001kkqdk08gis6n8;30;10;0
cmrjm1j21001pkqdky3kgay51;0;10;0
cmrjm8n24001tkqdkklwk8ki3;0;10;0
cmrkt3i3a005xkqdkxntkf5uk;30;10;0
cmrkujmes006jkqdkdx1j34nw;30;10;360
cmrkxccc7008akqdkmlo50y5q;30;10;0
cmrm4f7l9008ykqdkq0af7912;30;10;300
cmrm4k4hn0092kqdk7ybdzacr;20;10;300
cmrm4maxa0096kqdk0cjur1j3;30;9.99;0
cmrm4taly009ckqdkbrn2zl5g;0;10;0
cmrm5jpaj009ukqdkiptmseg5;9.99;0;99.9
cmrme4hcj00d5kqdkfnrl8oxp;10;0;0
cmrmj3w0300dakqdkpnxo122y;30;10;0
cmroxawil0005kqdnv0pztzv0;30;10;0
cmroxojyc000ikqdn2g1vkibn;10;0;0
cmroyf8ed000mkqdnxofs9w6p;30;10;450
cmrp2omjc0020kqdnimtdwquz;30;10;0
cmrp62n1h0007kq55emqyxaah;30;10;0
cmrp7dhdd000fkq556zsy31no;30;10;0
cmrp7gguh000jkq556tqyzmuz;0;10;0
cmrpb7235001okq55rqp5srpy;10;0;0
cmrqbmwi2002nkq55vaprhnqh;10;0;0
cmrqhbqhh004lkq55tqwhsw49;10;0;0
cmrtbh6ea0062kq5589lmu1ty;30;10;0
cmrtfgy5y006gkq5500wi8f2v;30;10;0
cmrtfxpgl006mkq550q38z23q;0;10;0
cmrtgzlrp007ckq55uavw11zx;30;10;0
cmrth0ygi008dkq55c0fhwkia;30;10;0
cmrthawzo008tkq55rrh2kiit;0;10;0
cmrtkaq5v00a3kq55x5jdch5v;30;10;0
cmrut4dm300b7kq55ymt6s3ny;30;10;0
cmrutckkd00bfkq55thfs59yc;20;0;0
cmrutlhym00bvkq55emcm58zj;15;10;0
cmruty0e100c5kq55q28rhc6l;10;10;0
cmruu0bhc00c9kq55utfep0gh;30;10;0
cmruu7snb00chkq55udfaivnh;30;10;0
cmrw4a08600f5kq5570kmagza;20;10;0
cmrw4deo100fakq55zbfks35j;30;10;0
cmrwb5s7400ghkq5514dvu7z2;30;10;0
cmrwbs79t00h5kq55dfjoko98;30;10;0
cmrwc3abl00hmkq557mprp4de;10;0;0
cmrwcnh0i00iakq55ajpax6ul;30;10;0
cmrwfibw600j2kq55pd0nsf9c;30;10;0
cmrwflstq00j6kq555dfi82ol;0;10;0
cmrxoqqez00jukq55puq6wpsj;0;10;0
cmrxoyiio00k4kq55zqtvn2d2;30;10;0
cmrxsafej00mlkq552nhfu9mf;30;10;0
cmrxup9xd00n6kq55w6y849v6;30;10;0
cmrxurkqs00nckq55t5ush6rn;10;0;0
cmrxwghur00ozkq55mruzgedp;30;10;0
cmrxwzicn00pbkq55u79z22sn;0;10;0
cmrxyayns000ekq70qgmmyccs;30;10;0
cmryzprmh0005kqklet44mbgm;30;10;0
cmryzqdsx0009kqkl1wy4ibmk;30;10;0
cmrz05pgq000nkqkl5huutl0y;10;0;0
cmrzbjjs40023kqklv2s66xeh;30;10;0
cms1z749k003akqklpncp4dbn;0;10;0
cms1zc29f003gkqklni7ouol2;20;10;0
cms20cnzg003wkqklxu46jkpm;10;0;0
cms24rbb6006okqklp38pnvb1;0;10;0
cms24ykmg0072kqklm54eg0nl;30;10;0
cms3clyd9009ekqkly1ykrx08;0;10;0
cms3gurke00ankqklew8orhjy;30;10;0
cms3icj6h00bkkqklsyss0d0d;30;10;0
cms3j1d8900bukqklqbjnimco;10;10;0
cms3juyfp00cukqklg02gmzyg;30;10;0
cms3jw0lg00cykqkleemm8j2c;10;10;150
cms4nnnlm000skqegnsvtsbic;30;10;0
cms51j2fb002vkqegazdcf6w7;10;0;0
cms67n4vp004ukqegriv5r42y;10;10;0
cms695t9h005fkqegwzucdrof;30;10;0
cms6dwdbq005okqegz2vjgavx;0;10;0
cms6g9tpp006ikqeg1uwh39qa;30;10;0
cms6gaii2006mkqeg23vpfqjd;30;10;0
cms6grlgc006skqegtz0rm041;30;10;0
cms7l0ggk0076kqeg8tad70e1;30;10;0
cms7lr7rl007gkqegityeeztj;20;10;0
cms7lxech007mkqegly3479bm;10;0;0
cms7m43vj007skqegkqdgotcw;30;10;0
cms7m5btp007wkqegs15w04h5;30;10;0
cms7mjbwk0080kqegr51sxhvj;30;10;450
cms7mztua008akqegqvp6f1ya;10;0;0
cms7n7s3g008kkqegtrs3b9mx;20;10;0
cms7nb0z2008okqegry0ms2in;30;10;0
cms7nhsus008skqegduo2y1oo;0;10;0
cms7nngvq008wkqeg6i0d5btt;0;10;0
cms7nu2le0096kqegli7pdhqk;10;0;0
cms7nvctu009akqegd5zbare5;10;0;0
cms7q0wg8009tkqegrt8s622f;0;10;0
cms7q9jti009zkqeg97gysyu4;30;10;0
cms7qe1ys00a3kqegz9smnp4u;30;10;150
cms7sqhzu00bvkqegz6kaszna;10;0;0
cmsaga0r70019kq24xkzj12ha;30;10;0
cmsakq00l001dkq24xpzlzycd;30;10;0
cmsaly132001hkq24daj46wuc;20;10;0
