contrato;juros_mensal_percentual;juros_atraso_dia_percentual;juros_pagos_historico
cmqf519ek00dpfln2r8g0mibo;30;10;0
cmqf51a0h00dsfln2lckcn9uc;30;10;150
cmqf51ck000e0fln2m0jzvdg9;30;0;300
cmqf51d9q00e3fln2k4j7k4jf;30;0;240
cmqf51dv200e6fln2xe8b37nj;30;0;0
cmqf51eg400e9fln2y4f23yav;10;0;300
cmqf51f4w00ecfln24jw7nfgi;10;0;50
cmqf51fu600effln20scja6jw;10;0;60
cmqf51gn200eifln2cr8ys04o;10;0;0
cmqf51ha300elfln2ejcpezkr;30;10;300
cmqf51i7a00eofln252g167ry;30;0;0
cmqf51iss00erfln2j0g4y56q;30000;0;0
cmqf51jh500eufln2wh5w2p4k;30;0;300
cmqf51k3y00exfln2vcbx6e7m;30;10;0
cmqf51kow00f0fln2h77zn4kx;30;0;150
cmqf51lbh00f3fln24dwuz6w4;30;0;180
cmqf51m4c00f6fln2oh077fao;0;10;0
cmqf51mq400f9fln2m73eoai6;10;0;0
cmqf51nbe00fcfln2yt2vfbtz;30;0;0
cmqf51o1100fffln2z9hdbmej;10;0;50
cmqf51owl00fifln2mmgdlfbv;10;0;80
cmqf51pno00flfln23qq4nvym;10;0;300
cmqf51q9200fofln2agsuunx7;30;0;300
cmqf51qua00frfln27cvptrp3;30;0;0
cmqf51rh000fufln2opr14mjm;30;0;0
cmqf51s2d00fxfln2u6xhs84i;30;0;150
cmqf51sr300g0fln2jnrbunvz;30;0;300
cmqf51txh00g4fln2qk1r5oiw;30;0;150
cmqf51uu200g7fln233c5zmpa;30;0;0
cmqf51vij00gafln2yt0drze5;30;10;0
cmqf51w5k00gdfln2wypvpaci;0;10;0
cmqf51wuc00ggfln2o1pd804o;10;0;500
cmqf51xfn00gjfln25ddlfgd0;30;0;150
cmqf51y0b00gmfln24bhnnmxw;0;10;0
cmqf51yl300gpfln2nhw0molv;0;10;0
cmqf51z9p00gsfln2xq2aj07w;30;0;0
cmqf51zuf00gvfln2hdk1h6qh;30;0;210
cmqf520fi00gyfln2jk34b891;0;10;0
cmqf5216i00h1fln2tdyyvy9l;30;0;0
cmqf521rn00h4fln2auu8rinv;30;0;450
cmqf522ck00h7fln21ipf0alk;30;0;0
cmqf522yt00hafln2994q0tvp;30000;0;300
cmqf523li00hdfln2mvi9thha;30;0;450
cmqf5248000hgfln2ucqtxug4;0;10;0
cmqf524uh00hjfln2gugttekk;30;0;90
cmqf525m500hmfln2wtaxthlp;30;0;0
cmqf526c100hpfln2hr6qeni1;30000;0;300
cmqf526x500hsfln27vqtki0o;30;0;0
cmqf527iq00hvfln2ie9zi2wq;10;0;50
cmqf5283k00hyfln24d33sb6i;30;0;0
cmqf528ol00i1fln2zlgxrvwj;0;10;0
cmqf529ey00i4fln2lbrj9gjn;30;0;90
cmqf52a5v00i7fln2cz0bwl9w;30;10;0
cmqf52arn00iafln2k9v2foj1;10;0;90
cmqf52bjy00idfln2e0t9tk42;10;0;0
cmqf52c5300igfln2vc2e1l8a;10;0;80
cmqf52csh00ijfln240p5j91x;10;0;100
cmqf52dgp00imfln2ffjecm5u;20;0;600
cmqf52e5x00ipfln2hykl6cr8;0;10.01;0
cmqf52faa00itfln2yquizb5a;30;0;300
cmqf52gj300ixfln25bjr1r48;30;10;0
cmqf52h5y00j0fln27ymg4ler;30;0;90
cmqf52hsr00j3fln2osc5sf6a;0;10;0
cmqf52ij900j6fln2lbcbgywl;10;0;400
